stock,n_days,basic_net_ret,basic_trades,basic_winrate,with_ma_net_ret,with_ma_trades,with_ma_winrate,with_ma_wins,alpha_diff_pp
603195.SH,243,-0.022975536000000005,7,0.42857142857142855,-0.059917082,5.0,0.2,False,-3.6941546
603259.SH,243,-0.017545456000000004,5,0.4,0.0108144768,5.0,0.6,True,2.8359932800000003
603268.SH,243,0.1238629737,5,0.8,0.14582903369999972,7.0,0.7142857142857143,True,2.1966059999999716
603298.SH,243,-0.0196427682,3,0.3333333333333333,-0.053884632,4.0,0.25,False,-3.42418638
603568.SH,243,-0.07200887570000014,7,0.2857142857142857,-0.0697304654,7.0,0.2857142857142857,True,0.22784103000001443
603605.SH,243,-0.0503656285,3,0.6666666666666666,-0.042230866699999994,3.0,0.3333333333333333,True,0.8134761800000008
603699.SH,243,0.08597748599999999,1,1.0,-0.04154580540000001,3.0,0.6666666666666666,False,-12.752329140000002
603733.SH,243,0.11612282920000017,2,1.0,0.09373912659999988,3.0,1.0,False,-2.2383702600000293
603776.SH,243,-0.037883668700000143,3,0.3333333333333333,-0.0514280988000003,4.0,0.25,False,-1.3544430100000158
603816.SH,243,0.0,0,0.0,0.08341335050000014,9.0,0.8888888888888888,True,8.341335050000014
603899.SH,243,-0.0154596552,2,0.5,0.0116071362,2.0,1.0,True,2.70667914
603993.SH,243,0.13562928500000015,4,0.75,0.0819724503,3.0,1.0,False,-5.3656834700000156
605117.SH,243,0.03807815889999999,3,0.6666666666666666,0.021517954400000004,4.0,0.75,False,-1.6560204499999989
605499.SH,243,-0.0200130548,3,0.3333333333333333,-0.0495573124,4.0,0.5,False,-2.95442576
688041.SH,243,0.0234087498,3,0.6666666666666666,-0.069963332,6.0,0.3333333333333333,False,-9.337208180000001
688111.SH,243,-0.010850123399999998,2,0.5,0.021715889999999998,3.0,0.3333333333333333,True,3.2566013399999996
688187.SH,243,-0.0195586022,3,0.3333333333333333,-0.08118364809999999,4.0,0.0,False,-6.162504589999999
688256.SH,243,0.0263818676,1,1.0,-0.013934448500000004,6.0,0.3333333333333333,False,-4.031631610000001
688300.SH,243,-0.038042583000000005,2,0.5,0.05588973529999999,3.0,0.3333333333333333,True,9.39323183
688617.SH,243,-0.10003554090000016,4,0.5,-0.086492052,4.0,0.5,True,1.3543488900000165
