# === Top 10 强势行业 (588 行业指数 vs 大盘) ===
industry_code,industry_name,ret,alpha_vs_idx
881289.SH,航天装备,0.7990520118179689,0.7756275662274583
881115.SH,林业,0.23253007522327507,0.20910562963276447
881291.SH,军工电子,0.22625698324022347,0.20283253764971287
881198.SH,家电零部件,0.2030089655628582,0.1795845199723476
881019.SH,化纤,0.16938954415046226,0.14596509855995166
881094.SH,玻璃玻纤,0.1505384236298246,0.127113978039314
881338.SH,通信设备,0.14172776844706525,0.11830332285655465
881261.SH,电机制造,0.14041589932473908,0.11699145373422848
881071.SH,工业金属,0.13301174203065513,0.10958729644014453
881078.SH,能源金属,0.11692979983084295,0.09350535424033235

# === Top 10 行业 全部成分股 (α vs 大盘) ===
industry_code,industry_name,industry_ret,stock,stock_ret,alpha_vs_idx,alpha_vs_industry
881338.SH,通信设备,0.14172776844706525,300548.SZ,0.19448183041722755,0.17105738482671695,0.0527540619701623
881338.SH,通信设备,0.14172776844706525,001267.SZ,0.19411123227917115,0.17068678668866055,0.0523834638321059
881078.SH,能源金属,0.11692979983084295,002497.SZ,0.19162253249879635,0.16819808690828575,0.0746927326679534
881078.SH,能源金属,0.11692979983084295,002756.SZ,0.19099890230515926,0.16757445671464866,0.0740691024743163
881261.SH,电机制造,0.14041589932473908,300660.SZ,0.19070373588184197,0.16727929029133137,0.050287836557102894
881261.SH,电机制造,0.14041589932473908,600416.SH,0.1873589164785554,0.1639344708880448,0.046943017153816324
881071.SH,工业金属,0.13301174203065513,002295.SZ,0.18610863757791618,0.16268419198740558,0.05309689554726105
881261.SH,电机制造,0.14041589932473908,301023.SZ,0.18338343809784075,0.15995899250733014,0.042967538773101666
881019.SH,化纤,0.16938954415046226,000420.SZ,0.1796875,0.1562630544094894,0.010297955849537743
881291.SH,军工电子,0.22625698324022347,002338.SZ,0.17769261799112557,0.15426817240061497,-0.04856436524909791
881291.SH,军工电子,0.22625698324022347,002214.SZ,0.17470664928292035,0.15128220369240974,-0.05155033395730313
881019.SH,化纤,0.16938954415046226,002064.SZ,0.17270788912579937,0.14928344353528877,0.0033183449753371175
881338.SH,通信设备,0.14172776844706525,300394.SZ,0.1705390602479102,0.1471146146573996,0.028811291800844963
881291.SH,军工电子,0.22625698324022347,688272.SH,0.1689334287759483,0.1455089831854377,-0.05732355446427517
881338.SH,通信设备,0.14172776844706525,300308.SZ,0.16472228056441285,0.14129783497390225,0.0229945121173476
881338.SH,通信设备,0.14172776844706525,688205.SH,0.16459127488352387,0.14116682929301327,0.022863506436458625
881338.SH,通信设备,0.14172776844706525,920640.BJ,0.16218721037998152,0.13876276478947092,0.020459441932916267
881019.SH,化纤,0.16938954415046226,000949.SZ,0.16033755274261607,0.13691310715210547,-0.009051991407846183
881071.SH,工业金属,0.13301174203065513,603979.SH,0.1602925491391134,0.1368681035486028,0.02728080710845826
881291.SH,军工电子,0.22625698324022347,688788.SH,0.15923566878980888,0.13581122319929828,-0.06702131445041459
881291.SH,军工电子,0.22625698324022347,603678.SH,0.15841259429321086,0.13498814870270026,-0.06784438894701261
881291.SH,军工电子,0.22625698324022347,603267.SH,0.15710034013605445,0.13367589454554385,-0.06915664310416902
881338.SH,通信设备,0.14172776844706525,002281.SZ,0.1567719530345626,0.133347507444052,0.015044184587497345
881338.SH,通信设备,0.14172776844706525,688027.SH,0.15574673090158297,0.13232228531107237,0.014018962454517725
881338.SH,通信设备,0.14172776844706525,300502.SZ,0.15477179535282604,0.13134734976231544,0.013044026905760786
881071.SH,工业金属,0.13301174203065513,000878.SZ,0.15095398428731777,0.12752953869680717,0.017942242256662633
881291.SH,军工电子,0.22625698324022347,688776.SH,0.15065676756139346,0.12723232197088286,-0.07560021567883002
