stock,ma5,ma10,ma20,rsi14,atr14,bband_pctb,macd,stoch_k,obv,mfi14,adx14,amount,vwap
002468.SZ,-0.20753942203039294,-0.21323933858277025,-0.24101817511877088,0.06864702084022145,-0.16661189652037806,0.005040981772929902,0.11072823774006416,0.030429652330354925,-0.22519901155183206,0.09825313322812772,-0.12692047490984185,0.03458597978937477,-0.21380799714800025
002475.SZ,-0.10853859629475228,-0.1032166602173186,-0.10182541830266834,0.12386891573912825,-0.03317909417314208,0.10472847682439826,0.02036759923219093,0.03160174342449953,-0.07421902312050692,-0.06556143028674474,0.04734554595653051,0.005892153504127124,-0.10210354313736324
002558.SZ,-0.13184055851905174,-0.14456851679243626,-0.152685399096331,0.13540108429630646,-0.1803456939430301,0.2332115539133285,-0.06115306025321085,0.23674417648765486,-0.053183020846629,0.1083309924046987,-0.3535699380840247,-0.0537137946550779,-0.12112637878743582
002602.SZ,-0.23642349974276047,-0.23785269019105704,-0.24338595135912158,0.05934473954799022,-0.2835914435214195,0.09559248222944644,-0.029270099363719417,0.11358759359238361,-0.2164652353659051,0.18344521480218867,-0.2680146407899989,-0.22656005482240296,-0.2461339982872996
002648.SZ,-0.34198148264252365,-0.3195656199769568,-0.2658440071311986,-0.12479246504537159,-0.09449889303276568,-0.09993776081297359,-0.17041614260250912,-0.13732151376329882,-0.3190682415066899,-0.07660210509767906,0.035883785945916215,-0.044302256441843386,-0.31121593086150917
002714.SZ,-0.1503082047900793,-0.13272612216076243,-0.13575639150602878,-0.040509340562061444,-0.29974164156207483,-0.08622400289826827,-0.055120425096316775,-0.06780048307770212,-0.055533798539178954,-0.009530347891674812,-0.35914035267925964,-0.1598712502194734,-0.16845580022612047
002837.SZ,0.03924350610892853,0.019417132511574006,-0.007814570069795253,0.2314580948731111,-0.035008624685466755,0.18764007214273443,0.12968996016541579,0.12912911242607084,0.07688767476692235,0.1975500539637549,-0.15688520252413307,0.08785243240719412,-0.019048271176565268
002916.SZ,-0.041181039140131874,-0.03473957413763913,-0.03169552119863956,-0.018160413519609953,-0.06332757599380999,-0.06982782085010979,0.00556674939096799,-0.08469199469901154,-0.02463276873414192,-0.045803396019791824,-0.05643653836177366,0.02079450634740303,-0.1571238254492507
300033.SZ,-0.24095002203472357,-0.23196098128028428,-0.20941815930785113,-0.04814507311044049,-0.14075243523819095,-0.04814424670759221,-0.0772201373900709,-0.06236813305888442,-0.1798653044881584,-0.0072270567205647415,-0.011367893175367941,-0.07457558299685846,-0.24282923338006093
300059.SZ,-0.22623062677326403,-0.21315345774666716,-0.19685456900899598,-0.05068412671770427,-0.11187153280579651,-0.04181724392548351,-0.054588072037509934,-0.039755317333252126,-0.13036862319969694,0.07015623284207717,-0.022737309696210965,-0.12920503044525425,-0.24171452715805528
300124.SZ,-0.3190438800232016,-0.3538149406746822,-0.4159264005127452,0.056831317478630336,-0.23938692401157538,0.11583794727881987,-0.010381808690954017,0.18724102521012306,-0.19882214905160633,0.18698402575557996,-0.1549604986056797,-0.03517074718607627,-0.3246130067848707
300274.SZ,-0.01664024855582469,-0.01847856579553615,-0.01603118302047438,0.09774239713682868,0.016465218272149012,0.03745114030758416,0.08394154412773357,0.04420336551836276,0.05595464956521139,-0.027002311157069577,0.09887615781029076,0.026964449402925247,-0.017155872122078013
300308.SZ,0.046756043980266525,0.047831744492187724,0.04940796062855506,0.22890226933769342,0.047121615003287556,0.14401320675628795,0.09046205211250068,0.16103284832399656,0.2231549290862461,-0.028539579512005434,0.09698958231883632,0.05222524077150935,0.042422462906384725
300394.SZ,-0.0630676161721342,-0.04785663905422968,-0.039907925005778284,-0.0053463377843569896,-0.076228013488342,0.03869306299461215,-0.09407675292555409,0.0052825274006959785,0.030213988228469393,-0.11392631756560571,-0.02564154955996476,-0.08318040123494293,-0.13147350917670972
300413.SZ,-0.24313359728516645,-0.25277220036529224,-0.2687496102841064,0.06566561559155489,-0.1776990234672688,0.07340420379947481,0.034350520691211424,0.052847791530414356,-0.3278815621971452,-0.05608818583307523,-0.13427611675971354,0.09182836183005227,-0.22665865458857343
300442.SZ,-0.25959180215801386,-0.23157932298541745,-0.219285130705898,-0.09891342003324095,-0.09940093675081024,-0.12888320410754378,0.04578825758907819,-0.2101393904605159,-0.21132901822853628,-0.17698470495793725,0.018348976606134267,-0.12792661717291545,-0.29573754314604317
300476.SZ,-0.2146407286690749,-0.21330973160867317,-0.1949368094381529,-0.05994027553131173,-0.20873378129161546,-0.06126964453580583,-0.1294291420719696,-0.08614728684248521,-0.1651977824452047,-0.036844369079876295,-0.0421855244703053,-0.16762728890719722,-0.22522893061683066
300502.SZ,-0.04113969398891145,-0.04173040720902486,-0.04453462211397098,0.1412066760509941,-0.08141196876801766,0.028106088849522804,0.022571954975569415,0.06815736932947299,0.08419374721942466,0.0863262045406633,-0.10633130347599333,-0.07864558510361111,-0.08123846205822101
300750.SZ,-0.09541380544015339,-0.09636016298848801,-0.09874198123539665,-0.028426359060505682,-0.009730926843421972,0.0565497993123291,-0.05142607567137516,0.031229884673408998,-0.16537832070676647,0.08674414271143598,0.08727050725756498,0.018131821342634812,-0.1051526762182078
300803.SZ,-0.1275161558312637,-0.1267414609151376,-0.12676179373732013,0.06024936213843707,-0.14947893213567987,0.0382893134879307,0.035400226634885054,-0.039750997408674243,-0.035431309466956065,-0.00014247325483614283,-0.15634929271707967,0.01423842314198654,-0.15012266351210243
600018.SH,-0.44570015945138963,-0.36813225874633027,-0.2824548178770631,-0.3436044957277924,-0.11252273437785142,-0.273612575396059,-0.2994837253771583,-0.21699343339276478,-0.22595959770198215,-0.17289469931806464,-0.05920316767795497,-0.1366636853601765,-0.42692049197291704
600030.SH,-0.21587983936235328,-0.2065186481781035,-0.19379214044744292,-0.06136957099802603,-0.17738540979434048,-0.006074619079044984,-0.07859497016503539,-0.03328691132664422,-0.14219712462166476,-0.004044849832507934,-0.11581298057744838,-0.21853717852265458,-0.222809942069994
