feature,value
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4",0.14010101010101028
"close__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",4.519215141312112
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",1.55989898989899
"close__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",2.1055585756555457
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",-0.10360000000000014
"close__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6",1.2129990399999984
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6",0.9251999999999992
"close__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6",0.36773695999999967
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.2046774193548388
"close__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6",5.389031347554632
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6",1.7466129032258064
"close__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",2.380267559833509
"close__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.8",0.16749999999999998
"close__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",6.638562499999999
"close__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",2.065
"close__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",2.4023937500000008
"close__fft_coefficient__attr_""real""__coeff_0",9978.2
"close__fft_coefficient__attr_""real""__coeff_1",254.61414030914221
"close__fft_coefficient__attr_""real""__coeff_2",202.2305139748486
"close__fft_coefficient__attr_""real""__coeff_3",-148.56625668678345
"close__fft_coefficient__attr_""real""__coeff_4",-132.73598139057478
"close__fft_coefficient__attr_""real""__coeff_5",-96.2035676939875
"close__fft_coefficient__attr_""real""__coeff_6",-122.9456466734575
"close__fft_coefficient__attr_""real""__coeff_7",-37.213205808636864
"close__fft_coefficient__attr_""real""__coeff_8",86.14957406824726
"close__fft_coefficient__attr_""real""__coeff_9",60.928642893528945
"close__fft_coefficient__attr_""real""__coeff_10",-57.56073975978778
"close__fft_coefficient__attr_""real""__coeff_11",-58.259043732540164
"close__fft_coefficient__attr_""real""__coeff_12",-119.78717514038183
