date,holdings_count,weekly_return,year
2022-08-26,1,-0.09255319148936181,2022
2022-09-02,1,0.042324246771879404,2022
2022-09-09,1,-0.08693790149892933,2022
2022-09-19,1,-0.00454545454545463,2022
2022-09-26,1,0.02792140641158225,2022
2022-10-10,1,-0.10294117647058831,2022
2022-10-17,1,-0.0072421217459386344,2022
2022-10-24,1,-0.06129032258064515,2022
2022-10-31,1,0.05354058721934374,2022
2022-11-07,1,-0.027852169255490278,2022
2022-11-14,1,0.002797202797202747,2022
2022-11-21,1,-0.04454976303317537,2022
2022-11-28,1,0.06478290833907652,2022
2022-12-05,1,-0.07638483965014575,2022
2022-12-12,1,-0.051724137931034364,2022
2022-12-19,1,0.058252427184465994,2022
2022-12-26,1,-0.1271966527196653,2022
2023-01-03,1,-0.015151515151515138,2023
2023-01-10,1,-0.21362530413625302,2023
2023-01-17,1,-0.03626943005181338,2023
2023-01-31,1,0.03292753623188416,2023
2023-02-07,1,-0.0708771929824561,2023
2023-02-14,1,-0.024456521739130488,2023
2023-02-21,1,-0.0360655737704918,2023
2023-02-28,1,0.0,2023
2023-03-07,1,0.04063805545005694,2023
2023-03-14,1,0.014556682840758617,2023
2023-03-21,1,-0.010407239819004599,2023
2023-03-28,1,0.015916325602546744,2023
2023-04-04,1,-0.06262930223810415,2023
2023-04-12,1,-0.034062447821005204,2023
2023-04-19,1,0.19959308240081386,2023
2023-04-26,1,0.06946688206785123,2023
2023-05-08,1,-0.1280474878100487,2023
2023-05-15,1,-0.1938888888888889,2023
2023-05-22,1,0.08841259209645003,2023
2023-05-29,1,-0.02018474170372908,2023
2023-06-05,1,-0.027830728173846797,2023
2023-06-12,1,0.12344720496894412,2023
2023-06-19,1,-0.16447184085177913,2023
2023-06-28,1,-0.01988140913847225,2023
2023-07-05,1,-0.08381924198250734,2023
2023-07-12,1,0.030102347983142597,2023
2023-07-19,1,-0.03238686779059452,2023
2023-07-26,1,0.0326894502228825,2023
2023-08-02,1,-0.025689819219790744,2023
2023-08-09,1,0.14587737843551785,2023
2023-08-16,1,-0.050403225806451624,2023
2023-08-23,1,-0.04954462659380687,2023
2023-08-30,1,0.01012373453318327,2023
2023-09-06,1,-0.04951690821256027,2023
2023-09-13,1,0.060889929742388826,2023
2023-09-20,1,-0.0045300113250283935,2023
2023-09-27,1,-0.015063731170336103,2023
2023-10-12,1,0.04502369668246464,2023
2023-10-19,1,0.15180394826412535,2023
2023-10-26,1,0.03582779543484538,2023
2023-11-02,1,0.14526542324246772,2023
2023-11-09,1,-0.06404840735243744,2023
2023-11-16,1,0.02784810126582271,2023
2023-11-23,1,0.0,2023
2023-11-30,1,-0.10547184773988894,2023
2023-12-07,1,-0.03281677301732011,2023
2023-12-14,1,-0.14492753623188415,2023
2023-12-21,1,-0.1291390728476821,2023
2023-12-28,1,-0.012368133866860642,2023
2024-01-05,1,0.06783719074221883,2024
2024-01-12,1,-0.006339144215530945,2024
2024-01-19,1,-0.08040993299172261,2024
2024-01-26,1,-0.14536015574302408,2024
2024-02-02,1,0.025069637883008422,2024
2024-02-19,1,0.05433376455368699,2024
2024-02-26,1,-0.007575757575757569,2024
2024-03-04,1,0.007317073170731714,2024
2024-03-11,1,-0.009413468501086153,2024
2024-03-18,1,-0.08407543216343638,2024
2024-03-25,1,-0.051520691374439154,2024
2024-04-01,1,-0.18415417558886504,2024
2024-04-10,1,-0.06216216216216219,2024
2024-04-17,1,-0.012636899747261898,2024
2024-04-24,1,-0.01682439537329128,2024
2024-05-06,1,0.02721893491124261,2024
2024-05-13,1,-0.12421952021031879,2024
2024-05-20,1,-0.016064257028112428,2024
2024-05-27,1,-0.14199395770392753,2024
2024-06-03,1,-0.0671641791044777,2024
2024-06-11,1,-0.012493354598617779,2024
2024-06-18,1,-0.1391129032258065,2024
2024-06-25,1,-0.16142857142857137,2024
2024-07-02,1,-0.1373883453849426,2024
2024-07-09,1,-0.054123711340206215,2024
2024-07-16,1,-0.11315789473684201,2024
2024-07-23,1,-0.02219403931515529,2024
2024-07-30,1,-0.04974271012006859,2024
2024-08-06,1,-0.11678486997635928,2024
2024-08-13,1,-0.025510204081632626,2024
2024-08-20,1,-0.07526881720430112,2024
2024-08-27,1,0.1036649214659684,2024
2024-09-03,1,-0.04603174603174609,2024
2024-09-10,1,-0.08467864757843424,2024
